description	التصنيف
صيانة وإصلاح منطقة الكاشير بالكامل	صيانة عامة
صيانة وإصلاح باب الكاونتر	أبواب ونوافذ
صيانة درف الخشب أسفل الاستندات	نجارة وأثاث
صيانة وإصلاح درف الكاونتر الخلفي	نجارة وأثاث
صيانة وتقوية واجهة الثلاجة	صيانة عامة
صيانة وتقوية واجهة الوارم	صيانة عامة
صيانة وإصلاح وحدة الميزان	نجارة وأثاث
تغيير وتركيب صرف الحوض	سباكة ومياه
اصلاح وتركيب حروف الافته الروسي	لافتات وعلامات
توريد وتغيير كشاف سليندر 30 وات الصفا	كهرباء وإضاءة
توريد وتغيير كشاف موفر للطاقة 30 وات وارم	كهرباء وإضاءة
توريد وتغيير لمبه ديكور 6 وات اديسون	كهرباء وإضاءة
توريد وتغيير ليد اللافتة مع محول التوصيل محول طاقة	كهرباء وإضاءة
توريد وتغيير محول توصيل للكشافات الموفر للطاقة 30 وات	كهرباء وإضاءة
صيانة الأبواب الزجاجية وتغيير الملحقات اللازمة	أبواب ونوافذ
توريد وتركيب كالو وحدات جانبيه	نجارة وأثاث
توريد وتركيب قفل وحدات الادرج (قفل خطاف)	نجارة وأثاث
توريد وتركيب قفل وحدات الشانون	نجارة وأثاث
توريد وتركيب مفصله درف الوحدات	نجارة وأثاث
توريد وتركيب وحده تخزين مطابقة لموصفات وحدات الكاونتر بالمحلات مقاس 200*90*55 سم	نجارة وأثاث
